Country,value,metric,percent,desc,misc
Afghanistan,90,days,100,Employer
Albania,365,calendar days,"80, 50",a,Social insurance system
Algeria,14,weeks,100,Social security
Andora,16,weeks,100,Social insurance system
Angola,12,weeks,100,Social security and Employer
Antigua and Barbuda,13,weeks,"100, 60",b,Social insurance and Employer
Argentina,90,days,100,c,Family allowance funds (financed through state and employer contributions)
Armenia,140,days,100,Social insurance
Australia,18,weeks,…,d,Social assistance system financed by the State
Austria,16,weeks,100,"Statutory health insurance, family burden equalization fund, or employer"
Azerbaijan,126,calendar days,100,Social security
The Bahamas,12,weeks,100,National Insurance Board (2/3) and Employer (1/3)
Bahrain,45,days,100,Social security
Bangladesh,16,weeks,100,Employer
Barbados,12,weeks,100,National insurance system
Belarus,126,calendar days,100,e,State social insurance
Belgium,15,weeks,"79.5, 75",f,Social security
Belize,14,weeks,100,Social security or Employer (for women who are not entitled to receive benefits from social security)
Benin,14,weeks,100,Social security (1/2) and Employer (1/2)
Bermuda,12,weeks,100,Employer
Bolivia,12,weeks,g,75,Social insurance
Bosnia and Herzegovina,1,year,50-100,h,…
Botswana,12,weeks,50,Employer
Brazil,120,days,100,Social insurance
British Virgin Islands,13,weeks,67,i,Social security
Brunei,9,weeks,j,100,k,Employer
Bulgaria,227,days,90,State public insurance (the General Sickness and Maternity Fund)
Burkina Faso,14,weeks,100,"Social security (if necessary, the employer adds up to the full wage)"
Burundi,12,weeks,100,Employer (50%) and Social security (50%)
Cambodia,90,days,50,Employer
Cameroon,14,weeks,100,National Social Insurance Fund
Canada,17,weeks,l,55,"m, n",Federal and State. Employment Insurance
Cape Verde,60,days,90,o,Social security
Central African Republic,14,weeks,50,Social security
Chad,14,weeks,50,Social security
"Channel Islands, Guernsey",18,weeks,…,"p, q",Social insurance and social assistance
"Channel Islands, Jersey",18,weeks,…,"p, q",Social insurance
Chile,18,weeks,100,Social security
China,90,days,100,r,Social insurance 
"China, Hong Kong SAR",10,weeks,80,Employer
Colombia,14,weeks,100,Social security
Comoros,14,weeks,100,Employer
Congo,15,weeks,100,"50% Social security, 50% Employer"
Costa Rica,4,months,100,s,"50% Social security, 50% Employer"
Ivory Coast,14,weeks,100,Social insurance
Croatia,1+,year,t,100,u,"Health Insurance Fund (until  the child reaches the age of 6 months), and the rest is paid from the State Budget"
Cuba,18,weeks,100,Social security
Northern Cyprus,18,weeks,75,Social security 
Czech Republic,28,weeks,60,Social security
Republic of the Congo,14,weeks,67,Employer
Denmark,18,weeks,…,Employer
Djibouti,14,weeks,100,"50% Social Protection Body, 50% Employer"
Dominica,12,weeks,60,i,Social security
Dominican Republic,12,weeks,100,v,"50% Social security, 50% Employer"
Ecuador,12,weeks,100,"75% Social security, 25% Employer"
Egypt,90,days,100,Social insurance (75%) and Employer (25%)
El Salvador,12,weeks,75,Employer
Equatorial Guinea,12,weeks,75,Social security
Eritrea,60,days,…,w,Employer
Estonia,140,calendar days,100,Social security
Ethiopia,90,days,100,Employer (for up to 45 days)
Fiji,84,days,100,x,Employer
Finland,105,working days,70,y,Social insurance system
France,16,weeks,100,m,Social security and Health Insurance Funds
Gabon,14,weeks,100,National Social Security Fund
Gambia,12,weeks,100,Employer
Germany,14,weeks,100,"Statutory health insurance scheme, employer"
Ghana,12,weeks,100,Employer
Greece,17,weeks,50+,"z, a1",Social security/State
Grenada,3,months,"100, 60",b1,"60% for 12 weeks by Social security, 40% for 2 months by Employer"
Guatemala,84,days,100,v,"Social security (2/3), Employer (1/3)"
Guinea,14,weeks,100,"Social security (1/2), Employer (1/2)"
Guinea Bissau,60,days,100,"Employer (if women receive subsidy from social security, employer pays the difference between subsidy and full salary)"
Guyana,13,weeks,70,i,Social security
Haiti,12,weeks,100,"Office of Workers' Compensation Insurance, Maternity and Sickness"
Honduras,12,weeks,100,v,"Social security (2/3), Employer (1/3)"
Hungary,24,weeks,70,Health insurance
Iceland,26,weeks,c1,80,Social Insurance Fund   
India,12,weeks,100,Employer
Indonesia,3,months,100,Employer
Iran,90,days,67,Social security
Iraq,62,days,100,Employer
Ireland,26,weeks,80,d1,Social insurance
Isle of Man,26,weeks,90,e1 ,Social security and social assistance system
Israel,14,weeks,100,m f1,Social security
Italy,5,months,80,Social insurance
Jamaica,8,weeks,100,g1,Employer or social security for domestic worker
Japan,14,weeks,30%,h1,"1/8 National Treasury, 7/8 Employment Insurance Fund"
Jordan,10,weeks,100,Social Security
Kazakhstan,126,calendar days,100,Employer
Kenya,3,months,100,Employer
Kiribati,12,weeks,25,Employer
Kuwait,70,days,100,Employer
Kyrgyzstan,126,calendar days,100,i1,Social security (Employer covers the first 10 working days)
Lao People's Democratic Republic,90,days,100,j1,Social security or employer
Latvia,112,calendar days,100,State Social Insurance 
Lebanon,7,weeks,100,Employer
Lesotho,12,weeks,…,k1,Employer
Libya,14,weeks,"50, 100",l1,"Employer, Social security for self-employed women"
Liechtenstein,20,weeks,80,Social insurance
Lithuania,126,calendar days,100,Social Insurance 
Luxembourg,16,weeks,100,Social security
Madagascar,14,weeks,100,"50% Social insurance, 50% Employer"
Malawi,8,weeks,m1,100,Employer
Malaysia,60,days,100,Employer
Mali,14,weeks,100,Social security
Malta,14,weeks,100,n1,Employer/Social security
Mauritania,14,weeks,100,Social Security Fund
Mauritius,12,weeks,100,Employer
Mexico,12,weeks,100,Social security
Monaco,16,weeks,90,m,Social insurance
Mongolia,120,days,70,Social Insurance Fund
Morocco,14,weeks,100,Social security
Mozambique,60,days,100,Social security
Myanmar,12,weeks,66,Social security
Namibia,12,weeks,100,Employer and Social security
Nepal,52,days,100,Employer
Netherlands,16,weeks,100,m,Social security
New Zealand,14,weeks,100,m,State funds (Universal and social assistance system)
Nicaragua,12,weeks,100,v,"60% by Social security, 40% by employer"
Niger,14,weeks,100,"50% Social insurance, 50% Employer"
Nigeria,12,weeks,50,Employer
