number;agent;group;volume;year;informations
50-00-0;Formaldehyde;1;Sup 7, 62, 88, 100F;2012;
50-06-6;Phenobarbital;2B;Sup 7, 79;2001;
50-07-7;Mitomycin C;2B;10, Sup 7;1987;
"50-18-0
6055-19-2";Cyclophosphamide;1;26, Sup 7, 100A;2012;
50-29-3;DDT (4,4'-Dichlorodiphenyltrichloroethane);2A;Sup 7, 53, 113;2016 online;
50-32-8;Benzo[<i>a</i>]pyrene;1;Sup 7, 92, 100F;2012;NB: Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
50-33-9;Phenylbutazone;3;13, Sup 7;1987;
50-41-9;Clomiphene citrate;3;21, Sup 7;1987;
50-44-2;6-Mercaptopurine;3;26, Sup 7;1987;
50-55-5;Reserpine;3;24, Sup 7;1987;
50-76-0;Actinomycin D;3;10, Sup 7;1987;
51-02-5;Pronetalol hydrochloride;3;13, Sup 7;1987;
51-03-6;Piperonyl butoxide;3;30, Sup 7;1987;
51-18-3;2,4,6-Tris(1-aziridinyl)-<i>s</i>-triazine;3;9, Sup 7;1987;
51-21-8;5-Fluorouracil;3;26, Sup 7;1987;
51-52-5;Propylthiouracil;2B;Sup 7, 79;2001;
51-75-2;Nitrogen mustard;2A;9, Sup 7;1987;
51-79-6;Ethyl carbamate (Urethane);2A;7, Sup 7, 96;2010;
52-01-7;Spironolactone;3;Sup 7, 79;2001;
52-24-4;Thiotepa;1;Sup 7, 50, 100A;2012;
52-46-0;Apholate;3;9, Sup 7;1987;
52-68-6;Trichlorfon;3;30, Sup 7;1987;
53-03-2;Prednisone;3;26, Sup 7;1987;
53-70-3;Dibenz[<i>a</i>,<i>h</i>]anthracene;2A;Sup 7, 92;2010;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
54-05-7;Chloroquine;3;13, Sup 7;1987;
54-31-9;Furosemide (Frusemide);3;50;1990;
54-85-3;Isonicotinic acid hydrazide (Isoniazid);3;4, Sup 7;1987;
55-18-5;<i>N</i>-Nitrosodiethylamine;2A;17, Sup 7;1987;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
55-98-1;1,4-Butanediol dimethanesulfonate (see Busulfan);;;;
55-98-1;Busulfan;1;4, Sup 7, 100A;2012;
55-98-1;Myleran (see Busulfan);;;;
56-04-2;Methylthiouracil;2B;Sup 7, 79;2001;
56-23-5;Carbon tetrachloride;2B;20, Sup 7, 71;1999;
56-25-7;Cantharidin;3;10, Sup 7;1987;
56-38-2;Parathion;2B;30, Sup 7, 112;2017 online;
56-53-1;Diethylstilbestrol;1;21, Sup 7, 100A;2012;
56-55-3;Benz[<i>a</i>]anthracene;2B;92, Sup 7;2010;
56-75-7;Chloramphenicol;2A;Sup 7, 50;1990;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
57-06-7;Allyl isothiocyanate;3;73, Sup 7;1999;
57-14-7;1,1-Dimethylhydrazine;2B;4, Sup 7, 71;1999;
57-39-6;Tris(2-methyl-1-aziridinyl)phosphine oxide;3;9, Sup 7;1987;
57-41-0;Phenytoin;2B;Sup 7, 66;1996;
57-57-8;beta-Propiolactone;2B;4, Sup 7, 71;1999;
57-68-1;Sulfamethazine;3;79;2001;NB: Overall evaluation downgraded to Group 3 with supporting evidence from other relevant data
57-74-9;Chlordane;2B;Sup 7, 53, 79;2001;
57-88-5;Cholesterol;3;31, Sup 7;1987;
58-08-2;Caffeine;3;51;1991;
58-14-0;Pyrimethamine;3;13, Sup 7;1987;
58-55-9;Theophylline;3;51;1991;
58-89-9;Lindane (see also Hexachlorocyclohexanes);1;113;In prep.;
58-93-5;Hydrochlorothiazide;2B;50, 108;2016;
59-05-2;Methotrexate;3;26, Sup 7;1987;
59-87-0;Nitrofural (Nitrofurazone);3;50;1990;
59-89-2;<i>N</i>-Nitrosomorpholine;2B;17, Sup 7;1987;
60-09-3;<i>para</i>-Aminoazobenzene;2B;8, Sup 7;1987;
60-11-7;<i>para</i>-Dimethylaminoazobenzene;2B;8, Sup 7;1987;
60-35-5;Acetamide;2B;7, Sup 7, 71;1999;
60-56-0;Methimazole;3;79;2001;
60-57-1;Dieldrin (see Dieldrin, and aldrin metabolized to dieldrin);;;;
60-57-1, 309-00-2;Dieldrin, and aldrin metabolized to dieldrin;2A;5, Sup 7, 117;In prep.;
61-57-4;Niridazole;2B;13, Sup 7;1987;
61-82-5;Amitrole;3;79, Sup 7;2001;NB: Overall evaluation downgraded to Group 3 with supporting evidence from other relevant data
