Country;Prevalence;Urban;Rural;Poorest;Second;Middle;Fourth;Richest;Year;Source
Benin;0,2;?;?;?;?;?;?;?;2014;MICS Key Findings Report
Burkina Faso;13;7;15;16;16;13;12;8;2010;DHS/MICS
Central African Republic;1;1;2;2;1;2;0,4;0,4;2010;MICS
Cote d'Ivoire;10;10;10;7;8;13;13;8;2011-2012;DHS
Egypt;14y;10;16;23;16;13;11;5;2015;Health Issues Survey (DHS)
Eritrea;33;25;37;41;39;33;29;22;2010;Population and Health Survey
Ethiopia;24;?;?;?;?;?;?;?;2011;Welfare Monitoring Survey
Gambia;56;51;60;51;55;62;66;45;2010;MICS
Ghana;1;0,3;1;2;0,2;0,1;0,2;0,3;2011;MICS
Guinea;46;40;47;56;44;45;45;35;2012;DHS/MICS
Guinea-Bissau;30;?;?;?;?;?;?;?;2014;MICS Key Findings Report
Indonesia;49y;56y;47y;45y;49y;51y;56y;53y;2013;RISKESDAS
Kenya;3;2;3;6;2;2;2;1;2014;DHS
Mauritania;54;33;68;83;70;53;33;21;2011;MICS
Nigeria;17;17;17;19;20;15;16;13;2013;DHS
Senegal;13;8;17;24;16;11;6;3;2014;Continuous DHS
Sudan;32;?;?;?;?;?;?;?;2014;MICS Key Findings Report
Togo;0,3;0,2;0,3;1;0,1;0,2;0,2;0,1;2013-2014;DHS
Uganda;1;1;1;2;2;0,4;2;1;2011;DHS
