Country;Prevalence;Urban;Rural;Poorest;Second;Middle;Fourth;Richest;Year;Source
Benin;3;?;?;?;?;?;?;?;2014;MICS Key Findings Report
Burkina Faso;9;8;10;11;11;10;8;8;2010;DHS/MICS
Cameroon;7;5;13;14;22;6;5;3;2004;DHS
Central African Republic;11;7;15;17;16;12;7;6;2010;MICS
Chad;38;29;41;48;45;39;33;27;2010;MICS
Cote d'Ivoire;14;11;17;17;17;17;14;8;2011-2012;DHS
Djibouti;37;37;42;?;?;?;?;?;2006;MICS
Egypt;54;37;63;65;63;66;48;28;2015;Health Issues Survey (DHS)
Eritrea;12;7;16;21;20;13;7;5;2010;Population and Health Survey
Ethiopia;31;10;36;48;39;34;31;14;2005;DHS
Gambia;65;61;70;70;68;72;66;53;2013;DHS
Ghana;2;2;3;4;4;3;2;1;2006;MICS
Guinea;76;69;80;86;82;78;69;66;2012;DHS/MICS
Guinea-Bissau;13;?;?;?;?;?;?;?;2014;MICS Key Findings Report
Iraq;5;4;9;13;8;4;3;1;2011;MICS
Kenya;6;5;7;19;6;4;4;3;2014;DHS
Liberia;39;36;43;43;44;45;33;25;2013;DHS
Mali;73;71;75;74;72;76;77;68;2010;MICS
Mauritania;41;26;54;72;58;44;25;18;2011;MICS
Niger;6;2;7;7;7;7;9;2;2012;DHS
Nigeria;23;20;25;31;28;22;22;16;2013;DHS
Senegal;16;11;21;28;21;14;12;6;2014;Continuous DHS
Sierra Leone;69;56;76;81;76;77;68;51;2013;DHS
Somalia;65;54;72;78;78;68;56;47;2006;MICS
Sudan;41;?;?;?;?;?;?;?;2014;MICS Key Findings Report
Togo;1;1;2;2;1;2;1;1;2013-2014;DHS
Uganda;9;5;10;13;11;11;7;5;2011;DHS
United Republic of Tanzania;6;2;7;10;8;8;4;1;2010;DHS
Yemen;19;13;23;29;26;17;18;11;2013;DHS
