Country;Prevalence;Urban;Rural;Poorest;Second;Middle;Fourth;Richest;Year;Source
Benin;9;?;?;?;?;?;?;?;2014;MICS Key Findings Report
Burkina Faso;76;69;78;77;78;78;80;69;2010;DHS/MICS
Cameroon;1;1;2;1;4;1;1;1;2004;DHS
Central African Republic;24;18;29;34;31;26;17;15;2010;MICS
Chad;44;46;44;53;47;43;37;43;2010;MICS
Cote d'Ivoire;38;38;39;?;?;?;?;?;2011-2012;DHS
Djibouti;93;93;96;?;?;?;?;?;2006;MICS
Egypt;87;77;93;94;93;92;87;70;2015;Health Issues Survey (DHS)
Eritrea;83;80;85;89;86;84;83;75;2010;Population and Health Survey
Ethiopia;74;69;76;73;76;75;78;71;2005;DHS
Gambia;75;72;79;?;?;?;?;?;2013;DHS
Ghana;4;3;5;13;4;3;1;1;2011;MICS
Guinea;97;97;97;?;?;?;?;?;2012;DHS/MICS
Guinea-Bissau;45;?;?;?;?;?;?;?;2014;MICS Key Findings Report
Iraq;8;9;6;10;12;10;6;4;2011;MICS
Kenya;21;14;26;40;26;18;17;12;2014;DHS
Liberia;50;41;65;70;65;57;41;29;2013;DHS
Mali;89;89;88;84;84;88;93;92;2010;MICS
Mauritania;69;57;81;94;88;71;57;48;2011;MICS
Niger;2;1;2;2;2;2;3;1;2012;DHS
Nigeria;25;32;19;17;20;24;31;31;2013;DHS
Senegal;25;22;28;38;29;24;20;18;2014;Continuous DHS
Sierra Leone;90;81;94;95;95;95;90;77;2013;DHS 
Somalia;98;97;98;98;99;98;98;96;2006;MICS
Sudan;87;?;?;?;?;?;?;?;2014;MICS Key Findings Report
Togo;5;3;6;?;?;?;?;?;2013-2014;DHS
Uganda;1;1;1;2;1;1;1;2;2011;DHS
United Republic of Tanzania;15;8;17;25;16;17;13;6;2010;DHS
Yemen;19;17;19;27;21;13;20;14;2013;DHS 
